id,type,neighborhood,lot_area_m2,internal_area_m2,rooms,suites,bedrooms,parking_spaces,price_brl
1,house,Damha Residencial Uberaba III,360.0,284.74,1,3,3,4,2950000.0
2,house,Damha Residencial Uberaba III,362.91,281.81,1,3,3,4,2700000.0
3,house,Residencial Mário de Almeida Franco,1880.0,778.0,2,5,7,10,5400000.0
4,house,Damha Residencial Uberaba II,461.0,340.0,2,4,4,4,6350000.0
5,house,Condomínio Terra Nova,143.0,140.0,1,1,3,3,580000.0
6,house,Damha Residencial Uberaba III,409.75,263.7,1,3,4,4,2800000.0
7,apartment,Jardim do Lago,0.0,127.0,2,3,3,2,950000.0
8,house,Damha Residencial Uberaba I,404.0,240.0,1,3,3,4,2550000.0
9,house,Jardim São Bento,0.0,253.7,1,2,4,4,870000.0
10,land,Condominio Terras Alpha,321.43,0.0,0,0,0,0,320000.0
11,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
12,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
13,house,Residencial Mário de Almeida Franco,1880.0,299.0,3,4,4,5,2850000.0
14,house,Cyrela Landscape,407.0,200.0,2,3,3,4,1600000.0
15,house,Condomínio Parque do Rio Grande,309.0,248.0,2,3,3,2,890000.0
16,house,Cyrela Landscape II (Residencial Vitória),523.3,234.71,2,3,3,4,1770000.0
17,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,250000.0
18,land,Cyrela Landscape,396.0,0.0,0,0,0,0,340000.0
19,apartment,Santa Maria,0.0,172.0,1,2,4,2,980000.0
20,house,Condomínio Residencial Baronesa,720.0,300.0,3,3,3,4,3200000.0
21,house,Condomínio Residencial Baronesa,360.0,330.0,3,4,5,6,2950000.0
22,house,Damha Residencial Uberaba II,394.6,399.0,2,4,5,2,4000000.0
23,land,Condominio Terras Alpha,321.43,0.0,0,0,0,0,344000.0
24,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,225000.0
25,apartment,Santa Maria,0.0,115.0,1,3,3,2,920000.0
26,house,Portal Beija Flor,200.0,150.0,1,1,3,2,740000.0
27,house,Santa Maria,445.6,335.0,4,2,4,3,1800000.0
28,apartment,Vila Maria Helena,0.0,70.0,1,2,2,2,540000.0
29,apartment,Irmãos Soares,0.0,148.47,3,3,3,4,750000.0
30,apartment,Parque do Mirante,0.0,52.0,1,0,2,1,260000.0
31,house,Estância dos Ipês,300.0,180.0,1,3,3,4,1700000.0
32,apartment,Santa Maria,0.0,112.0,1,1,3,2,710000.0
33,land,Damha Residencial Uberaba III,384.97,0.0,0,0,0,0,650000.0
34,house,São Sebastião,357.0,165.85,1,1,3,2,460000.0
35,apartment,São Sebastião,0.0,69.0,1,2,2,2,615000.0
36,house,Jardim São Bento,461.5,278.89,1,3,3,3,1150000.0
37,house,Estância dos Ipês,300.0,179.67,1,3,3,4,1590000.0
38,house,Residencial Mário de Almeida Franco,545.75,335.0,1,3,4,6,2650000.0
39,house,Jockey Park II,450.0,271.28,2,3,3,2,2200000.0
40,apartment,Jardim do Lago,0.0,200.0,2,3,3,3,1600000.0
41,house,Condomínio Ayat Club Residence,220.0,146.0,2,1,3,2,1250000.0
