id,tipo,bairro,area_lote,area_interna,salas,suites,quartos,vagas,preco
269,apartamento,São Sebastião,0.0,69.0,1,2,2,2,500000.0
270,apartamento,Nossa Senhora da Abadia,0.0,110.0,1,1,3,2,480000.0
271,casa,Jardim Espírito Santo,250.0,158.0,1,3,3,3,750000.0
272,casa,Condomínio Terra Nova,0.0,126.0,1,1,3,2,540000.0
273,casa,Residencial Mário de Almeida Franco,1121.47,630.0,4,5,5,10,2300000.0
274,terreno,Parque das Laranjeiras,250.0,0.0,0,0,0,0,120000.0
275,casa,Olinda,325.0,120.0,2,2,3,4,900000.0
276,terreno,Cyrela Landscape,494.96,0.0,0,0,0,0,338000.0
277,casa,Grande Horizonte,324.0,171.28,2,1,3,4,550000.0
278,terreno,Brahman I,250.0,0.0,0,0,0,0,200000.0
279,terreno,Brahman I,250.0,0.0,0,0,0,0,200000.0
280,terreno,Parque das Laranjeiras,251.88,0.0,0,0,0,0,200000.0
281,terreno,Parque das Laranjeiras,255.0,0.0,0,0,0,0,170000.0
282,terreno,Cyrela Landscape,438.3,0.0,0,0,0,0,440000.0
283,terreno,Cyrela Landscape,405.0,0.0,0,0,0,0,330000.0
284,terreno,Cyrela Landscape II (Residencial Vitória),415.46,0.0,0,0,0,0,290000.0
285,terreno,Damha Residencial Uberaba III,442.56,0.0,0,0,0,0,590000.0
286,lote,Loteamento Residencial Damha Fit,289.0,0.0,0,0,0,0,200000.0
287,terreno,Brahman I,250.0,0.0,0,0,0,0,190000.0
288,apartamento,Nossa Senhora da Abadia,0.0,37.0,1,0,1,0,220000.0
289,terreno,Residencial Mário de Almeida Franco,2000.0,0.0,0,0,0,0,650000.0
290,terreno,Residencial Mário de Almeida Franco,600.0,0.0,0,0,0,0,450000.0
291,terreno,Residencial Mário de Almeida Franco,2000.0,0.0,0,0,0,0,650000.0
292,apartamento,Mercês,0.01,212.0,2,4,4,2,680000.0
293,casa,Parque do Mirante,675.0,420.0,2,2,4,5,650000.0
294,casa,Recreio dos Bandeirantes,0.0,140.0,1,0,3,0,290000.0
295,casa,Parque das Laranjeiras,275.0,140.0,1,1,3,4,650000.0
296,imóvel,Conjunto Morada do Sol,0.0,253.0,1,1,2,2,550000.0
297,lote,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,190000.0
298,casa,Cyrela Landscape,525.0,240.0,3,2,3,0,1750000.0
299,casa,São Sebastião,403.0,312.0,3,2,4,3,1000000.0
300,terreno,Parque das Laranjeiras,250.0,0.0,0,0,0,0,140000.0
301,apartamento,Santa Maria,0.0,112.76,1,3,3,2,750000.0
302,apartamento,Parque das Acácias,0.0,56.0,1,1,2,1,275000.0
303,apartamento,Santa Maria,0.0,99.0,1,1,3,2,640000.0
304,terreno,Damha Residencial Uberaba III,394.45,0.0,0,0,0,0,550000.0
305,apartamento,Parque do Mirante,0.0,48.0,1,0,2,1,240000.0
306,casa,Jardim Espírito Santo,250.0,160.0,1,2,3,3,780000.0
307,apartamento,Conjunto Manoel Mendes,0.0,58.49,0,0,2,1,190000.0
308,apartamento,Nossa Senhora da Abadia,0.0,53.8,0,0,0,0,280000.0
309,casa,Damha Residencial Uberaba III,394.75,237.0,2,3,3,4,2300000.0
310,casa,Damha Residencial Uberaba I,414.64,221.01,1,2,4,4,1800000.0
311,apartamento,Olinda,0.0,87.45,0,0,0,0,415000.0
312,apartamento,Estados Unidos,0.0,102.09,1,1,3,2,820000.0
313,casa,Damha Residencial Uberaba III,387.0,210.0,1,3,3,4,2200000.0
314,casa,Damha Residencial Uberaba III,384.97,214.04,1,4,4,4,2530000.0
315,lote,Damha Residencial Uberaba III,384.37,0.0,0,0,0,0,450000.0
316,lote,Damha Residencial Uberaba III,409.75,0.0,0,0,0,0,400000.0
317,terreno,Residencial Mário de Almeida Franco,2231.0,0.0,0,0,0,0,850000.0
318,casa,Condomínio Ayat Club Residence,250.0,210.0,1,4,4,2,1480000.0
319,casa,Parque das Laranjeiras,260.0,120.0,1,1,3,2,550000.0
320,terreno,Residencial Jardins,365.7,0.0,0,0,0,0,385000.0
321,apartamento,São Benedito,0.0,103.43,1,1,3,2,440000.0
322,casa,Estância dos Ipês,376.66,225.55,3,3,3,2,2200000.0
323,terreno,Vila Maria Helena,237.0,0.0,0,0,0,0,360000.0
324,terreno,Damha Residencial Uberaba III,387.5,0.0,0,0,0,0,430000.0
325,apartamento,Mercês,0.0,126.34,2,1,3,2,550000.0
326,terreno,Conjunto Pontal,275.0,0.0,0,0,0,0,170000.0
327,casa,Parque das Laranjeiras,250.0,95.25,1,1,3,4,680000.0
328,casa,Residencial Mário de Almeida Franco,0.0,250.0,2,3,3,4,2000000.0
329,lote,Cyrela Landscape,428.14,428.14,0,0,0,0,430000.0
330,terreno,Jockey Park,1705.0,0.0,0,0,0,0,750000.0
331,apartamento,Olinda,0.0,77.0,2,1,3,1,280000.0
332,lote,Cyrela Landscape,428.14,0.0,0,0,0,0,380000.0
333,casa,São José,0.0,203.34,1,2,3,2,1100000.0
334,casa,Leblon,300.0,180.0,1,1,3,2,570000.0
335,apartamento,Mercês,0.0,198.0,4,1,3,2,670000.0
336,casa,Olinda,312.0,322.25,3,1,3,4,1300000.0
337,casa,Jardim São Bento,336.0,292.0,1,4,4,4,1350000.0
338,terreno,Estância dos Ipês,300.0,0.0,0,0,0,0,360000.0
339,terreno,Cyrela Landscape II (Residencial Vitória),442.0,0.0,0,0,0,0,290000.0
340,apartamento,Conjunto Guanabara,0.0,117.0,1,1,2,2,730000.0
341,lote,Loteamento Residencial Damha Fit,289.0,0.0,0,0,0,0,225000.0
342,terreno,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
343,casa,Parque das Laranjeiras,0.0,150.0,0,2,2,6,750000.0
344,casa,Pacaembu,200.0,140.0,1,2,3,2,430000.0
345,casa,Residencial Presidente Tancredo Neves,248.0,54.0,2,0,2,4,315000.0
346,casa,Damha Residencial Uberaba II,395.85,319.0,3,4,4,4,3350000.0
347,casa,Olinda,624.0,428.0,3,3,3,4,1300000.0
348,casa,Residencial Filinha Mendes,200.0,120.0,1,1,3,3,455000.0
349,lote,Estância dos Ipês,388.77,0.0,0,0,0,0,505500.0
350,lote,Estância dos Ipês,300.0,0.0,0,0,0,0,330000.0
351,terreno,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,250000.0
352,casa,Vila Frei Eugênio,300.0,205.0,2,1,3,2,950000.0
353,apartamento,Olinda,0.0,85.0,1,1,3,1,260000.0
354,lote,Oneida Mendes,570.0,0.0,0,0,0,0,840000.0
355,casa,Estância dos Ipês,360.0,215.8,1,3,3,4,2000000.0
356,apartamento,Jardim do Lago,0.0,116.0,1,3,3,2,950000.0
357,casa,Jardim Espanha,200.0,72.0,1,0,2,2,270000.0
358,apartamento,Parque do Mirante,0.0,100.64,1,1,3,2,990000.0
359,casa,Jardim Espanha,200.0,121.01,1,0,3,3,320000.0
360,apartamento,Parque do Mirante,0.0,100.64,1,1,3,2,980000.0
361,venda:,Parque do Mirante,0.0,100.64,1,3,3,2,1010000.0
362,apartamento,Parque do Mirante,0.0,100.64,1,2,2,2,1030000.0
363,apartamento,Parque do Mirante,0.0,100.64,1,1,3,2,940000.0
364,apartamento,Parque do Mirante,0.0,50.0,1,0,2,1,240000.0
365,lote,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,220000.0
366,casa,Damha Residencial Uberaba II,475.54,258.65,1,4,4,4,2250000.0
367,lote,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
368,venda:,Jardim do Lago,0.0,102.0,1,3,3,0,850000.0
369,terreno,Vila Celeste,1092.28,0.0,0,0,0,0,650000.0
370,terreno,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,215000.0
371,apartamento,Parque do Mirante,0.0,100.64,1,1,3,2,980000.0
372,casa,Parque das Laranjeiras II,250.0,123.99,2,1,3,6,645000.0
373,prédio,Mercês,460.45,436.97,3,1,3,2,980000.0
374,apartamento,Parque do Mirante,1797.47,97.99,1,1,3,2,590000.0
375,casa,Olinda,312.0,218.4,2,1,4,5,550000.0
376,apartamento,Olinda,0.0,77.0,2,1,2,1,199000.0
377,apartamento,Santa Maria,960.0,80.0,1,1,2,2,330000.0
